Time(s),TidalVolume(mL)
16.12,422.117
16.16,422.117
16.2,422.117
16.24,422.117
16.28,422.117
16.32,422.117
16.36,422.117
16.4,422.117
16.44,422.117
16.48,422.117
16.52,422.117
16.56,422.117
16.6,422.117
16.64,422.117
16.68,422.117
16.72,422.117
16.76,422.117
16.8,422.117
16.84,422.117
16.88,422.117
16.92,422.117
16.96,422.117
17,422.117
17.04,422.117
17.08,422.117
17.12,422.117
17.16,422.117
17.2,422.117
17.24,422.117
17.28,422.117
17.32,422.117
17.36,422.117
17.4,422.117
17.44,422.117
17.48,422.117
17.52,422.117
17.56,422.117
17.6,422.117
17.64,422.117
17.68,422.117
17.72,422.117
17.76,422.117
17.8,422.291
17.84,422.291
17.88,422.291
17.92,422.291
17.96,422.291
18,422.291
18.04,422.291
18.08,422.291
18.12,422.291
18.16,422.291
18.2,422.291
18.24,422.291
18.28,422.291
18.32,422.291
18.36,422.291
18.4,422.291
18.44,422.291
18.48,422.291
18.52,422.291
18.56,422.291
18.6,422.291
18.64,422.291
18.68,422.291
18.72,422.291
18.76,422.291
18.8,422.291
18.84,422.291
18.88,422.291
18.92,422.291
18.96,422.291
19,422.291
19.04,422.291
19.08,422.291
19.12,422.291
19.16,422.291
19.2,422.291
19.24,422.291
19.28,422.291
19.32,422.291
19.36,422.291
19.4,422.291
19.44,422.291
19.48,422.291
19.52,422.291
19.56,422.291
19.6,422.291
19.64,422.291
19.68,422.291
19.72,422.291
19.76,422.291
19.8,422.291
19.84,422.291
19.88,422.291
19.92,422.291
19.96,422.291
20,422.291
20.04,422.291
20.08,422.291
20.12,422.291
20.16,422.291
20.2,422.291
20.24,422.291
20.28,422.291
20.32,422.291
20.36,422.291
20.4,422.291
20.44,422.291
20.48,422.291
20.52,422.291
20.56,422.291
20.6,422.291
20.64,422.291
20.68,422.291
20.72,422.291
20.76,422.291
20.8,422.291
20.84,422.291
20.88,422.291
20.92,422.291
20.96,422.291
21,422.291
21.04,422.291
21.08,422.291
21.12,422.291
21.16,422.291
21.2,422.291
21.24,422.291
21.28,422.291
21.32,422.291
21.36,422.291
21.4,422.291
21.44,422.291
21.48,422.48
21.52,422.48
21.56,422.48
21.6,422.48
21.64,422.48
21.68,422.48
21.72,422.48
21.76,422.48
21.8,422.48
21.84,422.48
21.88,422.48
21.92,422.48
21.96,422.48
22,422.48
22.04,422.48
22.08,422.48
22.12,422.48
22.16,422.48
22.2,422.48
22.24,422.48
22.28,422.48
22.32,422.48
22.36,422.48
22.4,422.48
22.44,422.48
22.48,422.48
22.52,422.48
22.56,422.48
22.6,422.48
22.64,422.48
22.68,422.48
22.72,422.48
22.76,422.48
22.8,422.48
22.84,422.48
22.88,422.48
22.92,422.48
22.96,422.48
23,422.48
23.04,422.48
23.08,422.48
23.12,422.48
23.16,422.48
23.2,422.48
23.24,422.48
23.28,422.48
23.32,422.48
23.36,422.48
23.4,422.48
23.44,422.48
23.48,422.48
23.52,422.48
23.56,422.48
23.6,422.48
23.64,422.48
23.68,422.48
23.72,422.48
23.76,422.48
23.8,422.48
23.84,422.48
23.88,422.48
23.92,422.48
23.96,422.48
24,422.48
24.04,422.48
24.08,422.48
24.12,422.48
24.16,422.48
24.2,422.48
24.24,422.48
24.28,422.48
24.32,422.48
24.36,422.48
24.4,422.48
24.44,422.48
24.48,422.48
24.52,422.48
24.56,422.48
24.6,422.48
24.64,422.48
24.68,422.48
24.72,422.48
24.76,422.48
24.8,422.48
24.84,422.48
24.88,422.48
24.92,422.48
24.96,422.48
25,422.48
25.04,422.48
25.08,422.48
25.12,422.48
25.16,422.48
25.2,422.682
25.24,422.682
25.28,422.682
25.32,422.682
25.36,422.682
25.4,422.682
25.44,422.682
25.48,422.682
25.52,422.682
25.56,422.682
25.6,422.682
25.64,422.682
25.68,422.682
25.72,422.682
25.76,422.682
25.8,422.682
25.84,422.682
25.88,422.682
25.92,422.682
25.96,422.682
26,422.682
26.04,422.682
26.08,422.682
26.12,422.682
26.16,422.682
26.2,422.682
26.24,422.682
26.28,422.682
26.32,422.682
26.36,422.682
26.4,422.682
26.44,422.682
26.48,422.682
26.52,422.682
26.56,422.682
26.6,422.682
26.64,422.682
26.68,422.682
26.72,422.682
26.76,422.682
26.8,422.682
26.84,422.682
26.88,422.682
26.92,422.682
26.96,422.682
27,422.682
27.04,422.682
27.08,422.682
27.12,422.682
27.16,422.682
27.2,422.682
27.24,422.682
27.28,422.682
27.32,422.682
27.36,422.682
27.4,422.682
27.44,422.682
27.48,422.682
27.52,422.682
27.56,422.682
27.6,422.682
27.64,422.682
27.68,422.682
27.72,422.682
27.76,422.682
27.8,422.682
27.84,422.682
27.88,422.682
27.92,422.682
27.96,422.682
28,422.682
28.04,422.682
28.08,422.682
28.12,422.682
28.16,422.682
28.2,422.682
28.24,422.682
28.28,422.682
28.32,422.682
28.36,422.682
28.4,422.682
28.44,422.682
28.48,422.682
28.52,422.682
28.56,422.682
28.6,422.682
28.64,422.682
28.68,422.682
28.72,422.682
28.76,422.682
28.8,422.682
28.84,422.682
28.88,422.895
28.92,422.895
28.96,422.895
29,422.895
29.04,422.895
29.08,422.895
29.12,422.895
29.16,422.895
29.2,422.895
29.24,422.895
29.28,422.895
29.32,422.895
29.36,422.895
29.4,422.895
29.44,422.895
29.48,422.895
29.52,422.895
29.56,422.895
29.6,422.895
29.64,422.895
29.68,422.895
29.72,422.895
29.76,422.895
29.8,422.895
29.84,422.895
29.88,422.895
29.92,422.895
29.96,422.895
30,422.895
30.04,422.895
30.08,422.895
30.12,422.895
30.16,422.895
30.2,422.895
30.24,422.895
30.28,422.895
30.32,422.895
30.36,422.895
30.4,422.895
30.44,422.895
30.48,422.895
30.52,422.895
30.56,422.895
30.6,422.895
30.64,422.895
30.68,422.895
30.72,422.895
30.76,422.895
30.8,422.895
30.84,422.895
30.88,422.895
30.92,422.895
30.96,422.895
31,422.895
31.04,422.895
31.08,422.895
31.12,422.895
31.16,422.895
31.2,422.895
31.24,422.895
31.28,422.895
31.32,422.895
31.36,422.895
31.4,422.895
31.44,422.895
31.48,422.895
31.52,422.895
31.56,422.895
31.6,422.895
31.64,422.895
31.68,422.895
31.72,422.895
31.76,422.895
31.8,422.895
31.84,422.895
31.88,422.895
31.92,422.895
31.96,422.895
32,422.895
32.04,422.895
32.08,422.895
32.12,422.895
32.16,422.895
32.2,422.895
32.24,422.895
32.28,422.895
32.32,422.895
32.36,422.895
32.4,422.895
32.44,422.895
32.48,422.895
32.52,422.895
32.56,422.895
32.6,423.118
32.64,423.118
32.68,423.118
32.72,423.118
32.76,423.118
32.8,423.118
32.84,423.118
32.88,423.118
32.92,423.118
32.96,423.118
33,423.118
33.04,423.118
33.08,423.118
33.12,423.118
33.16,423.118
33.2,423.118
33.24,423.118
33.28,423.118
33.32,423.118
33.36,423.118
33.4,423.118
33.44,423.118
33.48,423.118
33.52,423.118
33.56,423.118
33.6,423.118
33.64,423.118
33.68,423.118
33.72,423.118
33.76,423.118
33.8,423.118
33.84,423.118
33.88,423.118
33.92,423.118
33.96,423.118
34,423.118
34.04,423.118
34.08,423.118
34.12,423.118
34.16,423.118
34.2,423.118
34.24,423.118
34.28,423.118
34.32,423.118
34.36,423.118
34.4,423.118
34.44,423.118
34.48,423.118
34.52,423.118
34.56,423.118
34.6,423.118
34.64,423.118
34.68,423.118
34.72,423.118
34.76,423.118
34.8,423.118
34.84,423.118
34.88,423.118
34.92,423.118
34.96,423.118
35,423.118
35.04,423.118
35.08,423.118
35.12,423.118
35.16,423.118
35.2,423.118
35.24,423.118
35.28,423.118
35.32,423.118
35.36,423.118
35.4,423.118
35.44,423.118
35.48,423.118
35.52,423.118
35.56,423.118
35.6,423.118
35.64,423.118
35.68,423.118
35.72,423.118
35.76,423.118
35.8,423.118
35.84,423.118
35.88,423.118
35.92,423.118
35.96,423.118
36,423.118
36.04,423.118
36.08,423.118
36.12,423.118
36.16,423.118
36.2,423.118
36.24,423.118
36.28,423.355
36.32,423.355
36.36,423.355
36.4,423.355
36.44,423.355
36.48,423.355
36.52,423.355
36.56,423.355
36.6,423.355
36.64,423.355
36.68,423.355
36.72,423.355
36.76,423.355
36.8,423.355
36.84,423.355
36.88,423.355
36.92,423.355
36.96,423.355
37,423.355
37.04,423.355
37.08,423.355
37.12,423.355
37.16,423.355
37.2,423.355
37.24,423.355
37.28,423.355
37.32,423.355
37.36,423.355
37.4,423.355
37.44,423.355
37.48,423.355
37.52,423.355
37.56,423.355
37.6,423.355
37.64,423.355
37.68,423.355
37.72,423.355
37.76,423.355
37.8,423.355
37.84,423.355
37.88,423.355
37.92,423.355
37.96,423.355
38,423.355
38.04,423.355
38.08,423.355
38.12,423.355
38.16,423.355
38.2,423.355
38.24,423.355
38.28,423.355
38.32,423.355
38.36,423.355
38.4,423.355
38.44,423.355
38.48,423.355
38.52,423.355
38.56,423.355
38.6,423.355
38.64,423.355
38.68,423.355
38.72,423.355
38.76,423.355
38.8,423.355
38.84,423.355
38.88,423.355
38.92,423.355
38.96,423.355
39,423.355
39.04,423.355
39.08,423.355
39.12,423.355
39.16,423.355
39.2,423.355
39.24,423.355
39.28,423.355
39.32,423.355
39.36,423.355
39.4,423.355
39.44,423.355
39.48,423.355
39.52,423.355
39.56,423.355
39.6,423.355
39.64,423.355
39.68,423.355
39.72,423.355
39.76,423.355
39.8,423.355
39.84,423.355
39.88,423.355
39.92,423.355
39.96,423.355
40,423.945
40.04,423.945
40.08,423.945
40.12,423.945
40.16,423.945
40.2,423.945
40.24,423.945
40.28,423.945
40.32,423.945
40.36,423.945
40.4,423.945
40.44,423.945
40.48,423.945
40.52,423.945
40.56,423.945
40.6,423.945
40.64,423.945
40.68,423.945
40.72,423.945
40.76,423.945
40.8,423.945
40.84,423.945
40.88,423.945
40.92,423.945
40.96,423.945
41,423.945
41.04,423.945
41.08,423.945
41.12,423.945
41.16,423.945
41.2,423.945
41.24,423.945
41.28,423.945
41.32,423.945
41.36,423.945
41.4,423.945
41.44,423.945
41.48,423.945
41.52,423.945
41.56,423.945
41.6,423.945
41.64,423.945
41.68,423.945
41.72,423.945
41.76,423.945
41.8,423.945
41.84,423.945
